kol1,kol2,kol3,kol4,kol5,kol6
91,-1.0583504835200652,-0.33256123337236787,-0.33124665861872971,-0.33905369929645263,1
92,-1.0508463747201366,-0.22237443769935611,-0.22890243267083651,-0.22112905109064629,1
93,-1.0683790246349463,-0.14418622408076229,-0.14220220727619604,-0.1350159899529651,1
94,-1.0789592009593909,-0.25213468976784964,-0.24844901858801924,-0.24566466324211997,1
95,-1.0583317840214359,-0.32526094910749831,-0.32079363888496415,-0.31179731009441924,1
96,-1.045281403928064,-0.24784689473215654,-0.24258672576774107,-0.23888983488873311,1
97,-1.0716626565942473,-0.15368556938443473,-0.15356402264334446,-0.15818466875463866,1
98,-1.0762552534575975,-0.26383309611032502,-0.25970611676284372,-0.26288690147968363,1
99,-1.0658527223701311,-0.34106202544923697,-0.33874889746879544,-0.3570613164764459,1
100,-1.0308042520892782,-0.24213980775050134,-0.24240721058090001,-0.24062888826125581,1
101,-1.0412834511211246,-0.16233595745033805,-0.15779384923328679,-0.14344572393504293,1
102,-1.073839278234695,-0.26419586638373299,-0.26374146856704156,-0.26413976788784516,1
103,-1.0606467819517404,-0.38921697431934976,-0.38461876760641067,-0.37718571690127328,1
104,-1.0261069380336039,-0.33166178748829966,-0.32832766688269965,-0.32847539292187095,1
105,-1.0426971332174979,-0.27055743581741282,-0.27268356881156158,-0.27868797782142224,1
106,-1.0435273909566378,-0.38162123797613767,-0.3821579135867979,-0.38817728219556202,1
107,-1.0454309999170981,-0.47016710388548771,-0.46817560728146979,-0.48195526782138365,1
108,-1.0248559415753051,-0.37774857181001448,-0.3743807921068818,-0.37336914923103792,1
109,-1.0545544852983222,-0.25767722116156722,-0.25249932999112051,-0.2451859560772105,1
110,-1.0669485129898066,-0.3320451272101998,-0.33126909801708482,-0.33468175651692783,1
111,-1.0584944696595107,-0.37877143438503591,-0.37560560926709941,-0.37430973401209056,2
112,-1.0402979875433618,-0.28046630014106644,-0.27915546528715418,-0.28393318718693433,2
113,-1.0568021650335613,-0.17878403644464966,-0.17351638768078245,-0.18536625996215497,2
114,-1.0652917374112527,-0.25308836419794273,-0.25609337362766749,-0.25598678648548062,2
